ukb_code	term_label	term_codes	mapping_type	ukb_fullcode	current_term_label	category
K55	vascular disease	EFO:0004264, EFO:0009431	Broad	K55-Diagnoses_main_ICD10_K55_Vascular_disorders_of_intestine	vascular disease AND intestinal disease	disease
M17	osteoarthritis || knee	EFO:0004616	Broad	M17-Diagnoses_main_ICD10_M17_Gonarthrosis_arthrosis_of_knee	osteoarthritis, knee	disease
R30	dysuria	EFO:0003901	? Broad	R30-Diagnoses_main_ICD10_R30_Pain_associated_with_micturition	dysuria	
O60	premature birth	EFO:0003917	? Exact	O60-Diagnoses_main_ICD10_O60_Preterm_delivery	premature birth	
S64	carpal tunnel syndrome	EFO:0004143	? Narrow	S64-Diagnoses_main_ICD10_S64_Injury_of_nerves_at_wrist_and_hand_level	carpal tunnel syndrome	disease
K29	gastritis	EFO:0000217	Broad	K29-Diagnoses_main_ICD10_K29_Gastritis_and_duodenitis	gastritis	disease
Z85	neoplasm' (covers benign + malignant; otherwise create/import 'malignant neoplasm')	EFO:0000616	Broad	Z85-Diagnoses_main_ICD10_Z85_Personal_history_of_malignant_neoplasm	neoplasm	disease
M05	rheumatoid arthritis	EFO:0000685	Broad	M05-Diagnoses_main_ICD10_M05_Seropositive_rheumatoid_arthritis	rheumatoid arthritis	disease
L91	skin disease	EFO:0000701	Broad	L91-Diagnoses_main_ICD10_L91_Hypertrophic_disorders_of_skin	skin disease	disease
K74	cirrhosis of liver	EFO:0001422	Broad	K74-Diagnoses_main_ICD10_K74_Fibrosis_and_cirrhosis_of_liver	cirrhosis of liver	disease
M15	osteoarthritis	EFO:0002506	Broad	M15-Diagnoses_main_ICD10_M15_Polyarthrosis	osteoarthritis	disease
Z34	pregnancy'	EFO:0002950	Broad	Z34-Diagnoses_main_ICD10_Z34_Supervision_of_normal_pregnancy	pregnancy	
O23	urinary tract infection	EFO:0003103	Broad	O23-Diagnoses_main_ICD10_O23_Infections_of_genitourinary_tract_in_pregnancy	urinary tract infection	disease
I24	heart disease	EFO:0003777	Broad	I24-Diagnoses_main_ICD10_I24_Other_acute_ischaemic_heart_diseases	heart disease	disease
I51	heart disease	EFO:0003777	Broad	I51-Diagnoses_main_ICD10_I51_Complications_and_illdefined_descriptions_of_heart_disease	heart disease	disease
S32	spinal fracture	EFO:0003902	Broad	S32-Diagnoses_main_ICD10_S32_Fracture_of_lumbar_spine_and_pelvis	spinal fracture	disease
O42	spontaneous preterm birth	EFO:0006917	Broad	O42-Diagnoses_main_ICD10_O42_Premature_rupture_of_membranes	spontaneous preterm birth	
N35	bladder neck obstruction	EFO:1000840	Broad	N35-Diagnoses_main_ICD10_N35_Urethral_stricture	bladder neck obstruction	disease
H90	sensorineural hearing loss	EFO:1001176	Broad	H90-Diagnoses_main_ICD10_H90_Conductive_and_sensorineural_hearing_loss	sensorineural hearing loss	disease
H74	auditory system disease	EFO:1001455	Broad	H74-Diagnoses_main_ICD10_H74_Other_disorders_of_middle_ear_and_mastoid	auditory system disease	disease
N81	uterine prolapse	EFO:1001864	Broad	N81-Diagnoses_main_ICD10_N81_Female_genital_prolapse	uterine prolapse	disease
K07	abnormality of the mouth	HP:0000153	Broad	K07-Diagnoses_main_ICD10_K07_Dentofacial_anomalies_including_malocclusion	abnormality of the mouth	
H52	Abnormality of refraction	HP:0000539	Broad	H52-Diagnoses_main_ICD10_H52_Disorders_of_refraction_and_accommodation	abnormality of refraction	
